OVERLAYS
    "> Saving","> Opslaan"
    "> Checking for updates","> Zoeken naar updates"

BUTTONS
    ">Settings",">Instellingen"
    "> Logout","> Uitloggen"

MENU ITEMS
    ">Current page",">Huidige Pagina"
    ">General",">Algemeen"
    ">Files",">Bestanden"
    ">Themes",">Thema's"
    ">Plugins",">Plugins"
    ">Security",">Beveiliging"
    ">Statistics",">Statistieken"

CURRENT PAGE
    ">Page title",">Titel"
    ">Page keywords",">Zoekwoorden"
    ">Page description",">Omschrijfing"
    "> Delete page \((.*?)\)","> Verwijder pagina ($1)"
    "return confirm\('Delete (.*?)\?'\)","return confirm('Verwijder $1?')"

GENERAL
    ">Main website title",">Websitetitel"
    ">Page to display on homepage",">Startpagina"
    ">Delete files",">Verwijder bestanden"

    ">visit",">open"
    "> Add page","> Pagina toevoegen"

THEMES
    ">List of all themes",">Alle thema's"
    "> Check for updates","> Controleer voor updates"
    "return confirm\('Remove (.*?)\?'\)","return confirm('Verwijder thema $1?')"
    ">Active",">Actief"
    "return confirm\('Activate (.*?) theme\?'\)","return confirm('Thema $1 activeren?')"
    "> Activate","> Activeren"
    "> More info","> Meer info"
    "> Install","> Installeren"
    ">Installed version:",">Geïnstalleerde versie:"
    ">Custom repository",">Eigen repository"
    "Enter URL to custom repository","URL naar eigen repository"
    "> Add", "> Voeg toe"
    "> Read more about custom repositories","> Meer informatie over eigen repositories"

PLUGINS
    ">List of all plugins",">Alle plugin's"

SECURITY
    ">Admin login URL",">Beheerder login URL"
    ">Important: bookmark\/save your login url after changing it",">Belangrijk! Bewaar de login url na het aanpassen."
    ">Password",">Wachtwoord"
    "Old password","Oud wachtwoord"
    "New password","Nieuw wachtwoord"
    "> Change password","> Verander wachtwoord"

    "> How to restore backup","> Hoe herstel ik een backup?"
    ">Improved security \(Apache only\)",">Verbeterde beveiliging (alleen Apache)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from sme origin, mime type sniffing prevention, stricter cookie and refferer policy.",">Forceer HTTPS, 30 dagen cache, iframes alleen binnen eigen domein, mime-type herkenning preventie, strictere cookie en referentie regels."
    ">ON (warning: may break your website)",">Zet aan (waarshuwing: maakt je website mogelijk onbruikbaar!)"
    ">OFF (reset htaccess to default)",">Uit"
    "> Read more before enabling","> Lees meer voordat dit aangezet wordt"

    ">Last 5 logins",">Laatse 5 keer ingelogt"

STATISTICS
    ">Statistieken this week",">Deze week"
    ">Pageviews",">Paginaweergaven"
    ">Sessions",">Sessies"
    ">Most popular page",">Meest bekeken pagina"
    ">Paginaweergaven last two weeks",">Paginaweergaven afgelopen twee weken"
    ">Sessies last two weeks",">Sessies afgelopen twee weken"

FOOTER
    ">News",">Nieuws"
    ">Donate",">Doneer"
