OVERLAYS
    "> Saving","> Сохранить"
    "> Checking for updates",">Проверка обновлений"

BUTTONS
    ">Settings",">Настройки"
    "> Logout","> Разлогиниться"

MENU ITEMS
    ">Current page",">Текущая страница"
    ">General",">Общие"
    ">Files",">Файлы"
    ">Themes",">Темы"
    ">Plugins",">Плагины"
    ">Security",">Защита"
    ">Statistics",">Статистика"

CURRENT PAGE
    ">Page title",">Титул страницы"
    ">Page keywords",">Ключевые слова страницы"
    ">Page description",">Описание страницы"
    "> Delete page \((.*?)\)","> Удалить страницу ($1)"
    "return confirm\('Delete (.*?)\?'\)","return confirm('Удалить $1?')"

GENERAL
    ">Main website title","> Название всего вебсайта"
    ">Page to display on homepage","> Какая страница является главной"
    ">Delete files","> Удалить файлы"

    ">visit",">Открыть"
    "> Add page","> Добавить страницу"

THEMES
    ">List of all themes","> Список всех тем"
    "> Check for updates","> Проверить обновления"
    "return confirm\('Remove (.*?)\?'\)","return confirm('Удалить тему? $1?')"
    ">Active",">Actief"
    "return confirm\('Activate (.*?) theme\?'\)","return confirm('Активировать $1 тему?')"
    "> Activate","> Активировать"
    "> More info","> Больше сведений"
    "> Install","> Установить"
    ">Installed version:",">Установленная версия:"
    ">Custom repository",">Свой вариант репозитория"
    "Enter URL to custom repository","Введите URL своего варианта репозитория"
    "> Add", "> Добавить"
    "> Read more about custom repositories","> Узнать больше о добавлении своих репозиториев"

PLUGINS
    ">List of all plugins",">Список всех плагинов"

SECURITY
    ">Admin login URL","> URL для входа админа"
    ">Important: bookmark\/save your login url after changing it",">КРАЙНЕ ВАЖНО:сохраните/добавьте в закладки ваш URL для входа после его смены"
    ">Password",">Пароль"
    "Old password","Старый пароль"
    "New password","Новый пароль"
    "> Change password","> Изменить пароль"

    "> How to restore backup","> Как восстанавливать резервные копии?"
    ">Improved security \(Apache only\)",">Усиленная защита (Работает только с Apache)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">Принудительное HTTPS, 30 дневное кеширование, iframes разрешены только с того же источника, защита от сниффинга mime-типов, более строгие политики для cookie и refferer механизмов."
    ">ON \(warning: may break your website\)",">ВКЛЮЧИТЬ (внимание: может сломать Ваш вебсайт!)"
    ">OFF \(reset htaccess to default\)",">ОТКЛЮЧИТЬ"
    "> Read more before enabling","> Узнать больше перед тем, как включать"

    ">Last 5 logins",">Последние 5 сохраненных входов"

STATISTICS
    ">Статистика this week",">Статистика за последнюю неделю"
    ">Pageviews",">Просмотры"
    ">Sessions",">Сессии"
    ">Most popular page",">Самая популярная страница"
    ">Просмотры last two weeks",">Просмотры за две последние недели "
    ">Сессии last two weeks",">Сессии за две последние недели"

FOOTER
    ">News",">Новости"
    ">Donate",">Поддержать разработчика"
